Date,Adj Close,Close,High,Low,Open,Volume
07/07/2023,605.88,622.5999756,630.7000122,621.25,626.5,711064
10/07/2023,601.9362183,618.5499878,623.7000122,617,623,791576
11/07/2023,605.098999,621.7999878,629.9000244,620.5999756,623,608461
12/07/2023,603.7852173,620.4500122,624,618,623.0999756,523272
13/07/2023,599.1627808,615.7000122,624.4000244,614.25,621,802085
14/07/2023,602.0822144,618.7000122,620,615.7999878,616.8499756,534996
17/07/2023,604.22,620.9000244,625,617.5,617.5,711158
18/07/2023,604.0285034,620.7000122,625.9500122,618,624,701393
19/07/2023,603.6878662,620.3499756,623.4000244,619.5,621.9000244,501945
20/07/2023,611.3756714,628.25,629.4500122,619.0499878,621.5,1166529
21/07/2023,621.6427002,635.75,642.9000244,623.5,626.75,2019022
24/07/2023,612.74,626.6500244,640,625,635.75,927514
25/07/2023,609.2244873,623.0499878,630.7999878,621.0499878,626.75,671845
26/07/2023,614.0158081,627.9500122,630.5999756,623.7999878,624.5999756,651954
27/07/2023,616.2647095,630.25,635.2999878,627.9000244,627.9000244,705149
28/07/2023,612.8424072,626.75,633.4500122,624.5,630,646004
31/07/2023,625.7495728,639.9500122,641.4000244,627,627,1469797
01/08/2023,632.8875122,647.25,650.7000122,640,644,1987633
02/08/2023,627.0206299,641.25,659.75,634,648,2568000
03/08/2023,630.2473755,644.5499878,648.9500122,641,641.2999878,1008085
04/08/2023,643.8878784,658.5,665,646.1500244,646.1500244,2593055
07/08/2023,641.0033569,655.5499878,664.9000244,653.0499878,659.0999756,1110788
08/08/2023,629.3673706,643.6500244,659.1500244,640.5499878,655.9500122,1157301
09/08/2023,629.6607666,643.9500122,647,641,645.2999878,672748
10/08/2023,627.4606323,641.7000122,649,639.7000122,645.5,634420
11/08/2023,645.2078857,659.8499756,679,655.0999756,666,5254644
14/08/2023,641.2477417,655.7999878,661.3499756,648.0499878,660,1215416
16/08/2023,634.8432007,649.25,654.5,648.3499756,654.5,701542
17/08/2023,645.0123901,659.6500244,662,650,650.4500122,1191732
18/08/2023,636.3587646,650.7999878,661,650,659.4000244,752476
21/08/2023,637.678833,652.1500244,655.8499756,650.5,651.0999756,566994
22/08/2023,649.1680908,663.9000244,667.0499878,652.1500244,653.7999878,1786271
23/08/2023,644.0345459,658.6500244,667.9000244,658,665.7000122,813337
24/08/2023,640.9544678,655.5,666.1500244,654,660.6500244,606670
25/08/2023,633.96,648.3499756,657.7999878,645,654,698906
28/08/2023,640.6610718,655.2000122,657.4500122,649.1500244,649.75,731456
29/08/2023,637.43,651.9000244,660.5,650.5,655.2000122,489634
30/08/2023,636.6032104,651.0499878,655.8499756,650.25,654,574588
31/08/2023,630.980835,645.2999878,655.4500122,643.0499878,651.3499756,710410
01/09/2023,631.4207764,645.75,649.4000244,645.0499878,645.2999878,793487
04/09/2023,643.99,658.5999756,664,647,647,2492988
05/09/2023,645.3546143,660,669.0499878,659.0999756,660,1878186
06/09/2023,662.9552002,678,691,661.1500244,661.8499756,5680338
07/09/2023,661.09729,676.0999756,686.7999878,674.5999756,680.2000122,1684464
08/09/2023,659.1906128,674.1500244,684.7999878,673.2000122,684,1578942
11/09/2023,663.9818115,679.0499878,684.9000244,675.9500122,677.6500244,1592447
12/09/2023,645.0123901,659.6500244,683.4000244,658.4500122,683.4000244,1594449
13/09/2023,644.670105,659.2999878,666.9500122,654.5499878,660.0499878,890096
14/09/2023,646.1368408,660.7999878,666,659.4000244,662.9500122,847932
15/09/2023,652.6881714,667.5,671.2999878,658.5999756,662.5499878,1743786
18/09/2023,648.9725342,663.7000122,671.7999878,661.7000122,667.5,732801
20/09/2023,641.1011353,655.6500244,665.8499756,653.0999756,660,1074642
21/09/2023,640.0255127,654.5499878,659.5499878,654,655.4500122,652802
22/09/2023,636.8475952,651.2999878,659.7999878,649,655.9500122,695541
25/09/2023,632.3008423,646.6500244,653,645.5,650,651991
26/09/2023,630.6386108,644.9500122,649.8499756,644,647.8499756,414742
27/09/2023,630.6386108,644.9500122,649.8499756,644,645,531459
28/09/2023,635.87,650.2999878,652,643.0499878,646,923774
29/09/2023,635.33,649.75,652.8499756,646.8499756,650.2999878,873339
03/10/2023,631.0296631,645.3499756,649.5499878,644.5,648.0999756,470219
04/10/2023,623.3049927,637.4500122,644,634.0499878,643,694550
05/10/2023,623.5982666,637.75,642,636.5,639.0999756,396155
06/10/2023,630.0518188,644.3499756,646,638.0499878,638.0499878,626615
09/10/2023,621.2026978,635.2999878,639.25,630.0999756,639.2000122,718556
10/10/2023,621.3982544,635.5,640.9500122,634.7000122,635.3499756,481417
11/10/2023,623.2071533,637.3499756,642,636.5999756,638.0999756,653919
12/10/2023,623.1582642,637.2999878,644.2000122,636.2000122,638,1325826
13/10/2023,620.57,634.6500244,639,634,636,615655
16/10/2023,623.0116577,637.1500244,640.7000122,634.6500244,634.6500244,1139234
